time,direction,bytes,latency,bps,duration,serverTime,responseSize,loadedLatencies
1730135179425,download,100000,83.29997500004657,7157896.333163024,112.09997499997672,49.000025,100300,
1730135182452,download,100000,80.59995399997672,8788613.409384783,91.29995399993015,52.000046,100300,
1730135182591,download,100000,87.30011099993015,8332285.30754842,96.30011099993015,40.999889,100300,88.499893
1730135182742,download,100000,89.59992399997671,7663806.9001879785,104.69992399995343,45.000076,100300,
1730135182927,download,100000,90.19995199995343,7402217.299881179,108.39995199990686,75.000048,100300,
1730135183086,download,100000,97.59990300009314,7368234.294936226,108.89990300002329,48.000097,100300,
1730135183225,download,100000,81.79999600004658,8807903.789580625,91.09999600009314,46.000004,100300,82.70003799995344
1730135183362,download,100000,90.29989300004657,8246668.883794311,97.29989300004657,38.000107,100300,
1730135183501,download,100000,87.000038,8306414.951929867,96.60003799997672,39.999962,100300,
1730135183641,download,100000,88.20003799995344,8121454.36623842,98.80003800004657,39.999962,100300,
1730135184123,download,1000000,84.000099,19048793.416257787,420.1000989999767,53.999901,1000300,94.49991399999999
1730135184664,download,1000000,95.20023300006984,41506173.90591052,192.80023300004655,68.999767,1000300,
1730135185342,download,1000000,91.500162,12812036.382402997,624.6001620000932,44.999838,1000300,102.20013199995344 92.60013199997672
1730135185622,download,1000000,106.70004799995343,35645426.67714708,224.500048,49.999952,1000300,
1730135185858,download,1000000,97.29992400004656,42954392.18750299,186.29992400004656,45.000076,1000300,120.19996600006985
1730135186119,download,1000000,99.000036,42543319.874755315,188.1000359999767,62.999964,1000300,
1730135186354,download,1000000,89.19997499995344,44556799.07528404,179.59997499997672,49.000025,1000300,
1730135186765,download,1000000,97.30006900004656,22346826.1884097,358.1000689999767,46.999931,1000300,83.69998699995344
1730135187066,upload,100000,95.39999400002327,2778161.7138905847,289.4000000000233,194.000006,376,121.20013200006986
1730135187238,upload,100000,91.40015300002328,6360759.493669714,126.40000000002328,34.999847,376,
1730135187375,upload,100000,101.20017400006985,6036036.03603287,133.20000000006985,31.999826,377,
1730135187499,upload,100000,89.40002899990687,6733668.341713794,119.39999999990687,29.999971,376,
1730135187616,upload,100000,87.00005,7052631.578947367,114,26.99995,376,97.90013199990688
1730135187738,upload,100000,82.10000799997673,6985230.234580039,115.09999999997672,32.999992,375,
1730135187876,upload,100000,105.89988400002329,6004480.955936222,133.90000000002328,28.000116,376,
1730135187996,upload,100000,91.10007099997671,6985230.234580039,115.09999999997672,23.999929,377,
1730135199106,upload,1000000,92.40009899990687,29624170.965374935,271.39999999990687,178.999901,380,167.20020400006985
1730135199790,upload,1000000,87.00012800000002,11982116.244411325,671,583.999872,376,84.30022300004657
1730135200004,upload,1000000,89.500105,40300751.87969924,199.5,109.999895,376,
1730135200222,upload,1000000,92.000156,39029126.21359223,206,113.999844,374,
1730135200437,upload,1000000,95.000219,40199999.99999999,200,104.999781,376,82.3999960000233
1730135200653,upload,1000000,87.60008399997672,40079760.71785111,200.59999999997672,112.999916,376,
1730135202735,download,10000000,92.10021399997672,40001195.71987206,2000.000214,48.999786,10000300,203.89989300002327 214.70004799995343 92.90020400002328
1730135204971,download,10000000,93.60008999997672,37017581.28281284,2161.20009000007,43.99991,10000300,97.499842 105.40025599990688 87.59998699997672 201.19998700006985
1730135207493,download,10000000,95.90012000002329,32771749.986642435,2441.2001199999536,50.99988,10000300,86.499945 95.70009000006985 93.40003800002329 95.59980899997672 95.500204
1730135209984,download,10000000,109.29994499993015,33169866.837075297,2411.8999450000233,42.000055,10000300,86.90001700002328 97.20011100006985 89.10003799997672 93.20009900006986
1730135211724,download,10000000,102.29989100004656,49117390.32035441,1628.7998910000465,61.000109,10000300,102.999966 90.500017 90.30008000004656
1730135214038,download,10000000,96.90015100002329,36188716.03361178,2210.7001509999536,57.999849,10000300,98.90001699990687 95.40011100002329 86.000038 98.80008999993015 87.39992400002328
1730135223429,upload,10000000,81.29985900004613,8660713.323925713,9283.300000000047,9202.000141,376,95.79999600004658 121.80018300004656 413.30011099993015 97.70001699995343 101.60005899997671 89.30006900004656 96.80011100004657 96.19984199995343 102.80015300004656 103.80013199993016 110.19991399995342 107.80009000004657 106.20008000006985 101.69998699995344 105.999987 95.90018099990687
1730135226786,upload,10000000,94.60025599997653,24642922.822289143,3262.5999999999767,3167.999744,375,107.70005899995343 92.30001699993015 99.80018300004656 98.39994500002328 113.69989299995343
1730135229615,upload,10000000,104.20012400006999,29405310.51130054,2734.20000000007,2629.999876,376,96.99991399999999 112.19996600006985 85.999966 94.10013199997672 88.40003800002329
1730135232266,upload,10000000,110.09997299997667,31441867.740800407,2557.0999999999767,2447.000027,374,92.20013200006986 96.79996600004657 89.500225 121.499966 99.90016200002329
